一粒红尘,207471001
上古情歌,691195500
云巅之上,206182401
亲爱的王子大人,
人民的名义,206206701
人间至味是清欢,205479401
传奇大亨,205486701
何所冬暖，何所夏凉,
使徒行者2,793639700
侠客行,90557801
假凤虚凰 第一季,
全职高手 第一季,
决对争锋,208163001
刺客列传之龙血玄黄,
剃刀边缘,205153601
南京爱情,
卧底归来,204049301
双世宠妃,
反恐特战队之猎影,208582201
反黑,616656300
周末父母,204084301
因为遇见你,205017001
囧女翻身之嗨如花,
国民大生活,216019201
复合大师,205522601
夏至未至,204358301
外科风云,204759601
大军师司马懿之军师联盟,
大唐荣耀2,
大王不容易,
大秦帝国之崛起,204561201
大话西游之爱你一万年,215274601
天使的幸福,
天泪传奇之凤凰无双,204962001
太乙仙魔录之灵飞纪 第二季,
女管家,204210101
守卫者·浮出水面,
寒武纪,
寻人大师,208280001
寻找前世之旅2,205790501
小情人,203365201
少年有点酷,
少年锦衣卫 第一季,
平凡岁月,215961001
废柴兄弟5：泰爽,
开封奇谈——这个包公不太行,
御姐归来,206553801
心理师,782206500
快把我哥带走 兄に付ける薬はない！,
思美人,203487801
愿有人陪你颠沛流离,
我与你的光年距离,
我们的少年时代,205028701
我们的爱,203724301
我女朋友的男朋友,
我的1997,205416101
我的前半生,207964401
拜托！别黑我！,
择天记,204446001
无心法师2,
无证之罪,205642201
无间道 第二季,
星光灿烂,
春风十里，不如你,
暗徒,207284001
最佳女配：阿尔法之境,
杀不死,498803100
林海雪原,215298001
梦想X计划,
楚乔传,203965201
欢乐颂2,205087501
求婚大作战,347956700
河神,206302301
浪花一朵朵,205903101
深夜食堂,205171701
深海利剑,208370401
漂洋过海来看你,203792501
热血尖兵,
热血长安,
爱人·同志,
狐狸的夏天,205203901
画心师,425564600
白夜追凶,264491600
白鹿原,119658800
盲约,205479801
神兽麻将馆,
神探狄仁杰4,
秘果,206290601
秦时丽人明月心,746294700
繁星四月,
约会恋爱究竟是什么,
绝密543,215264801
继承人,206264101
美味奇缘,213681201
职场是个技术活,206452001
花间提壶方大厨,206958201
被催眠的催眠师,
谁寄锦书来,793976100
轩辕剑之汉之云,205510201
逆袭之星途璀璨,696786400
通天狄仁杰,213144601
那年花开月正圆,204599901
那年那兔那些事 第四季,
那片星空那片海,206177801
醉玲珑,205400701
镇魂街,206450001
问题餐厅,637436500
阿拉德：宿命之门,
颤抖吧，阿部！,
鬼吹灯之牧野诡事,215462001
鬼吹灯之黄皮子坟,
鲜肉老师,
鸡毛飞上天,205979901
黎明决战,202699201
龙珠传奇之无间道,207901601
