剧名,豆瓣ID,豆瓣评分,豆瓣评价数,豆瓣标签1,豆瓣标签2,豆瓣标签3,播出时间,5分评价,4分评价,3分评价,2分评价,1分评价,导演最佳评分,导演最近评分,编剧1最佳评分,编剧1最近评分,编剧2最佳评分,编剧2最近评分,演员1最佳评分,演员1最近评分,演员2最佳评分,演员2最近评分,演员3最佳评分,演员3最近评分,演员4最佳评分,演员4最近评分,演员5最佳评分,演员5最近评分
一粒红尘,26752098,4.118,2792,剧情,爱情,,2017-06-11(中国大陆),6.10%,8.40%,16.40%,23.40%,45.80%,4.32,4.32,,,,,8.32,4.85,7.62,5.35,7.68,5.233333333,4.6,3.66,6.98,5.54
上古情歌,26608231,3.906,7100,剧情,爱情,奇幻,2017-06-12(中国大陆),7.90%,14.70%,7.30%,5.00%,65.10%,6.86,4.98,6.7,5.18,,,8,5.225,8.36,5.15,7.44,5.1,7.36,3.9,8.28,6.5
云巅之上,26344892,5.818,5504,剧情,爱情,,2017-02-23(中国大陆),8.80%,20.40%,37.60%,19.40%,13.70%,4.68,4.68,,,,,7.98,6.375,7.84,6.675,7.74,5.875,6.52,4.825,8.44,4.775
亲爱的王子大人,26969092,7.178,2113,剧情,爱情,奇幻,2017-08-30(中国大陆),29.30%,26.50%,26.20%,9.70%,8.40%,7.56,6.275,,,,,6.66,5.22,7.14,6.9,5.84,5.133333333,,,,
人民的名义,26727273,8.292,173873,剧情,悬疑,犯罪,2017-03-28(中国大陆),40.40%,40.50%,14.60%,2.30%,2.20%,7.56,6.68,8.34,7.825,,,8.06,6.125,8.56,8.333333333,9.12,7.625,9.24,7.5,8.5,6.55
人间至味是清欢,26842672,4.488,6491,剧情,爱情,,2017-08-15(中国大陆),5.30%,8.30%,24.80%,28.70%,32.90%,7.9,5.775,5.64,4.9,,,8.34,4.875,8.36,5.575,4.925,4.925,7.44,5.425,7.46,5.52
传奇大亨,26425608,5.19,1236,剧情,,,2017-10-09(中国大陆),7.90%,14.30%,29.30%,26.40%,22.10%,,,8.7,6.28,8.04,6.06,7.2,4.88,7.38,3.933333333,8.36,5.575,7.58,5.2,8.4,4.775
何所冬暖，何所夏凉,26640865,3.688,3237,剧情,爱情,,2017-09-10(中国大陆),6.60%,3.30%,12.10%,23.90%,54.10%,,,,,,,7.8,4.825,7.62,4.4,8.36,5.05,7.56,4.95,6.42,5.85
使徒行者2,26661003,7.106,18330,剧情,爱情,犯罪,2017-09-18(中国大陆),14.30%,38.40%,37.30%,8.30%,1.70%,7.1,6.675,8.14,7,,,8.64,7.5,8.18,6.325,8.58,5.575,7.94,7.55,7.8,6.625
侠客行,25864160,4.064,2126,剧情,武侠,,2017-07-07(中国大陆),4.10%,7.70%,20.30%,23.00%,45.00%,,,8.6,6.175,,,,,,,,,,,,
